Location,Rating,Review
Oasis Mall Salalah,Positive,Good
Oasis Mall Salalah,Positive,مكان ظخم اسعار منافسه
Oasis Mall Salalah,Positive,Good
Oasis Mall Salalah,Positive,"Great place to watch movie,"
Oasis Mall Salalah,Positive,🔥
Oasis Mall Salalah,Positive,طاقم العمل رائع تنوع ف الافلام فقط التطبيق يحتاج الى اضافة خيارات اكثير
Oasis Mall Salalah,Neutral,"23 136020
All is good but, given contact never receive calls___🥲
How can we contact......"
Oasis Mall Salalah,Positive,المكان رائع
Oman Avenues Mall,Positive,"Seats Amazing, Children play area is appreciating,  guidance to proper Screen NO"
Oman Avenues Mall,Positive,"One of the best movie halls in Oman, everything about it is world class, ticket rates are also affordable"
Oman Avenues Mall,Negative,Air condition👎🏻
Oman Avenues Mall,Positive,"My all time favorite cinema, they run nice offers & promotions. Sound quality is impressive. Great staff."
Oman Avenues Mall,Positive,Good popcorn.. And good offers for movie tickets
Oman Avenues Mall,Positive,Good movie theatre but expensive
Oman Avenues Mall,Negative,"Dear

I would like to raise a formal complaint regarding my recent experience at Cinepolis, Oman Avenues Mall.

Yesterday, I visited your theatre to watch a Malayalam movie Aadu 3
Screen 2 , but unfortunately, it turned out to be one of the worst experiences I have ever had in a cinema. The audio quality was extremely poor — the sound was almost inaudible throughout the movie. Neither the background music nor the dialogues could be clearly heard, which completely ruined the entire movie experience.

As a cinema lover, this was very disappointing. It is not just about the money I spent, but also about losing the opportunity to properly enjoy a film I was looking forward to. I also noticed that several other customers had raised complaints at the theatre itself, yet no effective action was taken to resolve the issue.

I work hard to earn my money, and I expect a basic level of quality and service when I pay for a movie ticket. Unfortunately, that expectation was not met.

I kindly request you to take this matter seriously, investigate the issue, and ensure such incidents do not happen again. I would also appreciate appropriate compensation or resolution for this inconvenience.

Thank you for your attention to this matter."
Oman Avenues Mall,Negative,"Extremely disappointed with Cinépolis Cinemas. Yesterday during the **ICC Men's T20 World Cup final between India national cricket team and New Zealand national cricket team, the cinema suddenly stopped the screen immediately after the match ended. Because of this, we were unable to watch the trophy presentation, which is the most important and emotional moment for cricket fans.

People came to the theater to enjoy the full final experience, but stopping the broadcast at that critical moment completely ruined it. This shows a total lack of consideration for customers and cricket fans. Very, very poor management and extremely bad service.

I will not recommend this cinema for live sports screenings. 👎😡"
Oman Avenues Mall,Negative,"Yesterday I watched the India vs New Zealand T20 World Cup Final at Cinépolis Oman. The match was fantastic and India won the title, which was a proud and emotional moment for all Indian fans. The most important part of such a historic match is the award ceremony and trophy presentation.

Unfortunately, the theatre stopped the live streaming immediately after the match ended. Because of this, we missed the winning celebrations and the award ceremony on the big screen. This was extremely disappointing. Many of us came to the theatre specifically to experience the full final, including the presentation ceremony.

Stopping the broadcast at that moment shows very poor management and lack of understanding of what fans expect. This was a very bad decision and completely ruined the final moment of the experience. Very, very disappointing. 👎"
Oasis Mall Salalah,Positive,Very very very good person👏🏽👏🏽👏🏽👏🏽👏🏽
Oasis Mall Salalah,Negative,"شوف الفلم في بيتك افضل
اصوات السينما جدا سيئة ولا كأنه سينما كأنها سماعة منزلية مافي اجواء سينما
وكذلك تعامل الموظفين سيئ
في حال أخطأ في نوع من الاكل يخليك تدفع سعر جديد يحاول يطلع منك مبلغ بأي طريقه"
Oasis Mall Salalah,Negative,"لايوجد تجاوب في الرد على المكالمات
أسعار الاكل مبالغ فيه"
Oasis Mall Salalah,Negative,"I watched 3 movies from cinepolis, Oasis mall. The resolution size of the movie is not fit with theatre screen. I cant see movie in the full resolution. Whether the upper part is not fit or lower part of the screen is not fit with the screen. Very disappointing about this experience."
Oasis Mall Salalah,Positive,من تجربتي في سينما سينيبوليس الواحه مول صلاله  كمعامله من قبل موظفي السينما ومن خدمات ومكان ونظافه وخدمات بصراحه روعه وبالتوفيق للجميع
Oasis Mall Salalah,Positive,The sales associate was truly exceptional! Their friendly attitude and quick service made my experience so much smoother and more enjoyable. Always ready to assist with professionalism and a smile! 👏🏼
Oasis Mall Salalah,Positive,The service was excellent.  Mr. Jayant was very friendly customer focused and he enquired and ensured that I'm bot allergic to peanut when I ordered M&M chocolate.
Oasis Mall Salalah,Positive,The customer service was excellent
Oasis Mall Salalah,Negative,"حصلت لاكثر من مره في فرعي صلالة، يتم حجب المقاعد التي عليها طلب على انها محجوزه - مقاعد Recliner &  Deluxe - حتى لا يتم الاستفادة من الخصومات المتاحه اون لاين، ولكن عند طلب الحجز من الفرع نتفاجأ بوجود المقاعد !!
اذا الهدف من هالطريقة عدم إعطاء الفرصة من الاستفادة من الخصومات لان المبلغ  لا يخدم ادارة السينما، يفضل ان تلغوا برنامج الخصومات.."
Oasis Mall Salalah,Negative,تجربة سيئة، القاعة مافيها مكيف وما حاولوا يصلحوا المشكلة
Oasis Mall Salalah,Negative,Very bad experience from a male Filipino staff in oasis mall Cinepolis. Very rude behaviour.
Oasis Mall Salalah,Positive,Very good
Oasis Mall Salalah,Positive,Awesome experience 👌👍
Oasis Mall Salalah,Negative,الاكل والوجبات مبالغ فيها...ما عندهم شاشات للحجز و وخاصه في فرع جاردنز...الموظفين تعاملهم غير احترافي
Oasis Mall Salalah,Positive,We watch two movies this week utilizing the great offers from Cinépolis
Oasis Mall Salalah,Positive,Good
Oasis Mall Salalah,Positive,مول كبير يوفر العديد من المحلات التجارية المختلفة والمقاهي تحت سقف واحد...
Oasis Mall Salalah,Positive,Good cinema
Oasis Mall Salalah,Positive,"Cinepolis Excellent service, Good environment."
Oman Avenues Mall,Negative,"The screen is extremely dark, to the point that characters are not even recognizable. I raised a complaint regarding this issue; however, I was informed that it is normal. This response reflects a lack of responsibility on the part of the staff.I watch the jeethu Joseph movie tonight."
Oman Avenues Mall,Negative,"I visited Cinepolis with my family, and the experience was very disappointing. The staff were extremely rude and did not handle customers properly. I will not be visiting again."
Oman Avenues Mall,Neutral,Decent place and convenient for kids.
Oman Avenues Mall,Neutral,I wish to share my experiences with you. During the show time of Avatar ' fire and ash' they didn't allow a break were the movie was 3h and 20mns. We very much suffered in the show time at late night.
Oman Avenues Mall,Positive,Oman Muscatcinema screen
Oman Avenues Mall,Positive,م جالي دخلتها بس شكلها فنان🦋
Oman Avenues Mall,Positive,Better customer service and better food than its competitor. Keep it up! 🎥🎞🍿🌭🥤
Oman Avenues Mall,Negative,horrible management. whoever was in charge of scanning the tickets on the 26th of December 2025 (night time specifically) was such a rude person. Incompetent and unprofessional. Very disrespectful towards everyone and lacks management skills. This was such an upsetting experience for my family and i. we will not be coming back to this cinema again.
Oman Avenues Mall,Neutral,"The Cinepolis 4DX experience was exciting and immersive, with seat movements and effects like wind and water syncing well with the movie. Action scenes felt more engaging and realistic. Sound quality and the screen visibility was good. Seats were comfortable. However, the staff could be a little more approachable and courteous, which would improve the overall experience."
Oman Avenues Mall,Positive,"Nice cinema, wonderful place, reasonable price but the outside waiting seating area is a joke. Someone in management needs to wake up and make physical calculations, total inside capacity should have some relevance in the outside waiting area capacity. I was left standing with my wife due to insufficient space. It should be less aesthetically pleasing and bring more functionality/operation to customer."
Oman Avenues Mall,Negative,"الشاشه جدا سيئة اللون الاحمر فيها بزياده يعني المشاهد الي فيها ظلام او لون اسود طالع باللون الاحمر وباهت جدا غير ان جودة الفلم اصلا سيئة
ماقدرت استمتع بالفلم ابدا"
Oman Avenues Mall,Negative,My wife ordered a slushy but they gave her a plain fanta and when i went to change it they refused to do it i think that is not fair for a big corporation to do that to their customers and the staff was rude
Oasis Mall Salalah,Positive,رائعة ويمكنك الاستفادة من العروض في التطبيقه المقدمة لحاملي بنعض بطاقات البنوك
Oasis Mall Salalah,Positive,من أفضل المولات في صلالة
Oasis Mall Salalah,Positive,Great cinema but the movie selection was limited
Oasis Mall Salalah,Positive,Nice
Oasis Mall Salalah,Positive,Good experience.....
Oasis Mall Salalah,Neutral,Worst screen quality. Pic cover with humidity in projection glass and I personally went twice to clean the glass
Oasis Mall Salalah,Positive,Only minimum screens available. Good staff available to support
Oasis Mall Salalah,Negative,"انقطع علينا الصوت في منتصف مشاهدة الفلم

وتقريبا انتظرنا حوالي ٣٠ دقيقة حتى تم حل المشكلة"
Oasis Mall Salalah,Positive,Expensive
Oasis Mall Salalah,Neutral,Very nice
Oasis Mall Salalah,Negative,"سينما لاباس بها معاملة غير جيده
عند استرجاع المبلغ التذاكر تم الرفض لسبب طارئ
لاتوجد عندهم المرونه لزبون.."
Oman Avenues Mall,Positive,"Mr. Shahrukh, the manager of Cinepolis at Muscat Avenues Mall and the whole Cinepolis team  provided exceptional support in arranging the first-ever private screening of an Assamese film, Roi Roi Binale, in Muscat, Oman. We are truly grateful for his assistance."
Oman Avenues Mall,Negative,Had a very unpleasant experience today at Cinepolis Avenues Mall. The staff stopped us from entering the theater asking us to pay for our baby who is 2.6 yrs old by asking us to take tickets while their website clearly states free entry for less than 3 year old. The staff were rude and adamant despite showing the passport of our baby. And they had the audacity to teach us how to talk despite trying to fool ppl and play the victim card when questioned. We were a group of 15 ppl and this will be our last visit to this place.
Oman Avenues Mall,Neutral,"The overall experience at Cinépolis Avenues Mall was decent — good ambience and facilities, though there’s room for improvement in service efficiency."
Oman Avenues Mall,Positive,Good experience
Oman Avenues Mall,Negative,Very very very bad service  it doesn't even desirve  1 stars  and they gave me the wrong movie and thank you for the very  bad service
Oman Avenues Mall,Negative,Thank you for the very bad service
Oasis Mall Salalah,Positive,"Greetings, friends. Cinepolis is located inside the oman Oasis Mall in salalah. Ticket printing machine working in this place properly comparatively with other cinemas. Very neat and clean place. Staff working in this place are very much friendly and helpful. If you are booking bulk tickets you can get best offers with snacks."
Oasis Mall Salalah,Negative,"في المواقف الارضيه لاتوجد مقاعد للإنتظار
رغم وجود المساحه الكافيه"
Oasis Mall Salalah,Negative,My favorite
Oasis Mall Salalah,Positive,متعة السياحة
Oasis Mall Salalah,Positive,ممتعة ومريحة
Oasis Mall Salalah,Positive,السينما تحفة حضرت فيلم الدشاش 👌🏻❤️
Oasis Mall Salalah,Negative,لا تعليق
Oasis Mall Salalah,Negative,"I would like some clarification regarding the policy on bringing personal drinking water into the cinema. At times, it seems to be allowed, but at other times it is not.

Additionally, I’ve noticed that hot water is not available at the cafeteria, which adds to the inconvenience for us, who may need it. Could you kindly provide clear guidelines on this matter?"
Oasis Mall Salalah,Positive,Beautiful ❤️
Oasis Mall Salalah,Positive,"Good sound effects,  comfort"
Oasis Mall Salalah,Negative,"Worst sound experience...Pricey..feel... cheated completly....
Worst theater in Oman..."
Oasis Mall Salalah,Neutral,"Ambiance is good
But sound system not worth it"
Oasis Mall Salalah,Positive,تجربة رائعة
Oasis Mall Salalah,Negative,Salalah branch - the volume is the worst experience you can ever try 🌚
Oasis Mall Salalah,Neutral,لاباس به
Oasis Mall Salalah,Positive,Nice movie environment
Oman Avenues Mall,Positive,Luxurious world class cinema experience at its best.
Oman Avenues Mall,Positive,Cinepolis Cinemas in Avenues mall. Very good theatre
Oman Avenues Mall,Positive,Nice
Oman Avenues Mall,Positive,Good
Oman Avenues Mall,Positive,Use the roof floor car park above ikea
Oman Avenues Mall,Positive,One of the best cinemas in Muscat and there is a play zone area for kinds inside theatre.
Oasis Mall Salalah,Positive,مناسب جدا وهادئ
Oasis Mall Salalah,Negative,تجربة جميلة فقط  المبلغة في اسعار السناك
Oasis Mall Salalah,Positive,Good theatre with comfortable chairs. Good refreshments area
Oasis Mall Salalah,Positive,Nice ambience
Oasis Mall Salalah,Positive,All are good sounds and pictures services
Oman Avenues Mall,Negative,"Worst experience with the staff at the entrance. They are very arrogent and not treating as customers. They should understand that it's only entertainment and nothing must have. They fought with me and family for food (2 piece banana) for my baby and didn't allow. They are saying it's municipality rule, which is incorrect. Very worst experience and never ever again here.."
Oman Avenues Mall,Negative,"Worst experience! They made us leave our water bottles at the entry and was assured we would get it once we return, and when we returned, staff admitted they might've drank them. Highly unprofessional and irresponsible."
Oman Avenues Mall,Positive,سينما بخدمات ممتازة في افنيوز مول.
Oman Avenues Mall,Positive,Good cinema Hall 🎥
Oman Avenues Mall,Positive,Always a delight to be here
Oman Avenues Mall,Positive,We met the customer service Mr Sharukh and he was excellent.  He went out of the way to help us with our online tickets due to a technical glitch . Awesome service by him and kudos to Cineplois .
Oman Avenues Mall,Positive,Big screen.. nice audio. Recliners r add on bonus!
Oman Avenues Mall,Neutral,"I enjoyed my experience at Cinépolis greatly, the only reason my review isn't a 4 or even a 5, is because of an issue with the 4D experience. I watched the F1 movie in Europe during my vacation, and then again here with 4D effects. During the showing the 4D wasn't used until around 20 minutes in, where they stopped the movie because I assume management realized they hadn't turned the effects on. We then rewatched those 20 minutes, now with effects.

However this wasn't a huge disruption. The main issue was with part of the movie that had to be cut out. It was an inappropriate scene that I did see in cinemas in Europe. That's why it came to mind when I thought about the issue. It was obviously not shown here in Oman. However, due to this, the 4D effects were delayed by the duration of that erased scene.

I hope there is a way to review this issue. I'm not suggesting the scene is shown, however the delay disrupted the 4D effects. The effects for a crash occured a minute after the actual shown scene. That was my only complaint. Otherwise, buying tickets online, and watching the first half of the movie was perfect. I've recommend going to this cinema to friends. :)"
Oman Avenues Mall,Positive,اجمل سينما في عمان الكراسي جدا مريحه وممتازه
Oman Avenues Mall,Positive,Very good and quite
Oman Avenues Mall,Negative,"I watched Final destination from here..(On June 5th) really extremely disappointing screen quality and sound.. the screen wasn't focus at all.. It felt like we're watching a 3D movie without glasses.. only closeup shots are clear.. there was this problem even when they started showing ads in the beginning but I thought the problem is with the ads quality and expected it would be better when the movie started.. so it was because of projector setting may be for that show..
I Couldn't enjoy the movie at all.. I thought about complaining during the interval, coz I didn't watch missing the scenes.. but unfortunately there was no interval..!
the movie experience would be lot better when watch after OTT release on my phone even with 720p resolution..

also, even before starting the movie, there was really bad experience from the beginning itself.. when I entered there was no light at all.. and there was nobody.. it was just 10 mins before the show time, so I thought may be it's wrong screen, then I saw one more family is confused coz there was no light.. so they confirmed from the counter the screen, so there were only few of us in the whole screen, and we waited until the start time, but that time also passed and the screen as well as room is completely off.. no lights at all.. then after waiting 10 more mins I went to counter to complain, just when I reached counter, they said just then the screen is on, so even the lights were turned on after 10 mins of actual movie starting time.. we're using our flashlights to enter and exit the room before...  never ever visit here to watch movie.. may be it was one time technical problem.. but how do we know..."
Oman Avenues Mall,Positive,"Oman Avenues mall Cinépolis is truly a great place to enjoy movies – the seating is comfortable, the screens are clear, and the sound quality is top-notch. The ambience is clean and well-maintained, making it a pleasant experience for families and movie lovers. Staff are generally courteous and the overall environment feels premium.

However, one small concern is that they don't allow even a personal water bottle inside the screen, which can be inconvenient, especially for those who prefer carrying their own water for health or personal reasons. It would be great if they could consider a more flexible policy on this."
Oman Avenues Mall,Negative,"أسوأ تجربة سينما عشتها في حياتي!
الكراسي غير مريحة نهائياً وتكسر الظهر، الحرارة داخل الصالة لا تطاق، السماعات تعبانة والصوت مزعج وغير واضح، وحتى جودة الشاشة والوضوح جداً سيئة! مستحيل أرجع لهالمكان مرة ثانية"
Oman Avenues Mall,Negative,"Disappointing Visual Experience in Screen 9 – 18th July 2025

I went to see JSK in Screen 9 on 18th July 2025, and unfortunately, the display quality was well below expectations. The screen was unusually dim, making it hard to enjoy visually rich scenes, and the colors looked faded and lifeless. There were moments when the picture appeared out of focus, suggesting an issue with the projector’s setup or maintenance.

It was frustrating to sit through a movie that should have been visually engaging, only to be distracted by technical shortcomings. For the price of a ticket, viewers deserve a crisp, bright, and properly projected film. I sincerely hope the theater takes immediate action to fix these issues in Screen 9."
Oman Avenues Mall,Positive,Use their App to purchase movie tickets and get more offers on your favourite movies.. Especially on Tuesday's its only cost OMR:2.00 for a person. Always try to choose Macro or Screen 5 for better experience
Oasis Mall Salalah,Positive,روعة
Oasis Mall Salalah,Positive,Good place
Oasis Mall Salalah,Negative,Expensive and I had a few bad experiences here. The screens aren’t very clear either?
Oasis Mall Salalah,Positive,Nice theater
Oasis Mall Salalah,Positive,Excellent place to watch a movie with your family and friends.
Oasis Mall Salalah,Positive,تجربه مميزه
Oasis Mall Salalah,Neutral,Staff didn't know about their jobs. Quality of movie was good and environment was clean. Seats were comfortable.
Oasis Mall Salalah,Positive,رووعة
Oasis Mall Salalah,Positive,Good
Oasis Mall Salalah,Positive,Great
Oasis Mall Salalah,Negative,"السينماء بشكل عام تحتاج الى اهتمام اكثر بالزبون ،
حاجز كل شيء اونلاين ، رفضوا يمشوني بحجة انه لازم اطبع التذكرة وانتظر الطابور ، و الاكل كذلك مافيه توصيل الى الكرسي فقط عليك تصف في الطابور واستلام الاكل ( على حسب كلام الموظف ) ، اذا حجزت اونلاين يتم اضافة رسوم على الخدمة في كل تذكرة واذا بغيت اكل كذلك تزيد رسوم ،،

بخصوص المكان ، دخلت اكثر من مره ، التبريد يكون سيء
والفيلم عربي والصوت خافت جدا ،، اتمنى من تحسين جودة السينماء خصوصا في صلالة .."
Oasis Mall Salalah,Neutral,It's okay great movies recommende it need more workers because of very long queue
Oasis Mall Salalah,Positive,مكان جديد جدا ورائعه جدا جدآ جدآ جدآ جدآ جدآ جدآ جدآ جدآ جدآ جدآ جدآ جدآ جدآ جدآ شكراً لك على هذا الموضوع
Oasis Mall Salalah,Negative,Not a good mall in town it says cinema is open but its closed
Oasis Mall Salalah,Positive,I Saw It In Incliner (Grrr Malayalam Movie) And the experience Was Awsome
Oasis Mall Salalah,Neutral,حلوو بس غالي تذكر
