job_id,title,company,location,geo_city,geo_country,geo_lat,geo_lon,salary_raw,salary_min,salary_max,currency,contract_type,description,skills,date_posted,url,source,scraped_at
reed_56870309,Data Analyst,Greencore,S802RS,Bassetlaw,United Kingdom,53.2984628,-1.0754996,,,,GBP,Full-time,"Why Greencore? Following the combination with Bakkavor in January 2026, we're one of the UK's leading creators of convenience food, driven by a simple purpose: to make everyday taste better. As a vibrant and fast-moving business, we're proud to employ over 28,000 talented colleagues across 36 manufacturing sites and 21 distribution depots in the UK and the US. Together, we bring delicious food to life. Our products cover every meal occasion from... ",r,2026-05-07,https://www.reed.co.uk/jobs/data-analyst/56870309,Reed,2026-05-30T19:24:17.248121
reed_56932291,Data Analyst,FDM Group,Glasgow,Glasgow,United Kingdom,55.861155,-4.2501687,,,,GBP,Full-time,"About The Role FDM is a global business and technology consultancy seeking a Data Analyst to work for our client within the Financial Services sector. This is initially a 6 month contract with the potential to extend and will be a hybrid role that will be based in Glasgow . You will take end-to-end ownership of developing and optimising Power BI dashboards, transforming data into clear, decision-ready insights. Working within a collaborative, sm... ","go, power bi, r",2026-05-21,https://www.reed.co.uk/jobs/data-analyst/56932291,Reed,2026-05-30T19:24:20.592222
reed_56941124,Data Science Analyst,Vermelo RPO,PE38BG,City of Peterborough,United Kingdom,52.5895192,-0.2863083,,,,GBP,Full-time,"Job Title: Data Science Analyst Location: Peterborough (hybrid working – 1 day in office) &nbsp; We have an exciting opportunity at Markerstudy Group for a Data Science Analyst. You will be responsible for providing data science and analytics solutions to support our strategic roadmaps and customer propositions. Working with a variety of teams and stakeholders, you will have strong communication skills allowing the business to adopt and embed yo... ","communication, r",2026-05-26,https://www.reed.co.uk/jobs/data-science-analyst/56941124,Reed,2026-05-30T19:24:22.658792
reed_56957462,Junior Data Analyst,AMS Contingent,Newcastle Upon Tyne,Newcastle upon Tyne,United Kingdom,54.9738474,-1.6131572,,,,GBP,Full-time,"We are AMS. We are a global total workforce solutions firm; we enable organisations to thrive in an age of constant change by building, re-shaping, and optimising workforces. Our Contingent Workforce Solution (CWS) is one of our service offerings; we act as an extension of our clients' recruitment team and provide professional interim and temporary resources. AMS are looking for multiple Junior Data Analysts for a 6 month contract based in Cardi... ","r, ui",2026-05-29,https://www.reed.co.uk/jobs/junior-data-analyst/56957462,Reed,2026-05-30T19:24:24.823741
reed_56838493,Junior Data Analyst,Anglian Home Improvements,NR66JB,Norwich,United Kingdom,52.6725858,1.2921751,,25000.0,30000.0,GBP,Full-time,"Junior Data Analyst - Office based role - Norwich, Norfolk We are seeking a motivated and detail-oriented&nbsp; Junior Data Analyst &nbsp;to join our team. This is an excellent opportunity for someone looking to begin or grow their career in data analytics within a supportive and forward-thinking environment. About the Role As a Junior Data Analyst, you will play a key role in transforming raw data into meaningful insights that support strategic... ","excel, r",2026-04-29,https://www.reed.co.uk/jobs/junior-data-analyst/56838493,Reed,2026-05-30T19:24:27.165597
reed_56888644,Senior Data Analyst,Marshall Wolfe,London,Greater London,United Kingdom,51.5074456,-0.1277653,,65000.0,75000.0,GBP,Full-time,"Data Strategy Analyst AVP Marshall Wolfe are hiring on behalf of our client within the finance industry, for a Data Strategy Analyst to join a high-performing analytics team focused on delivering strategic insight, driving transformation, and supporting senior stakeholders with data-driven recommendations. This role can be based in London, Northampton or Glasgow. Key Responsibilities Analyse complex data sets to identify trends, risks, and busin... ","go, r",2026-05-11,https://www.reed.co.uk/jobs/senior-data-analyst/56888644,Reed,2026-05-30T19:24:29.213159
reed_56957445,Junior Data Analyst,AMS Contingent,Cardiff,Cardiff,United Kingdom,51.4816546,-3.1791934,,,,GBP,Full-time,"We are AMS. We are a global total workforce solutions firm; we enable organisations to thrive in an age of constant change by building, re-shaping, and optimising workforces. Our Contingent Workforce Solution (CWS) is one of our service offerings; we act as an extension of our clients' recruitment team and provide professional interim and temporary resources. AMS are looking for multiple Junior Data Analysts for a 6 month contract based in Cardi... ","r, ui",2026-05-29,https://www.reed.co.uk/jobs/junior-data-analyst/56957445,Reed,2026-05-30T19:24:31.257320
reed_56212211,Senior Data Analyst,FDM Group,SE12QG,Greater London,United Kingdom,51.506132,-0.0849124,,,,GBP,Full-time,"Have you had a career break of 12+ months? Do you have 5+ years of commercial experience, including hands-on experience in Data, Analytics, or related technology roles? Are you ready to re-join the workforce with structured training, support and career coaching included? Then you’ll want to hear about the UK’s leading Returners Programme and the opportunities to join our Data &amp; Analytics Practice . Our Returners Programme is specifically des... ",r,2025-12-16,https://www.reed.co.uk/jobs/senior-data-analyst/56212211,Reed,2026-05-30T19:24:33.427740
reed_56950510,Liquidity Data Analyst (SQL),AMS Contingent,London,Greater London,United Kingdom,51.5074456,-0.1277653,,,,GBP,Full-time,"AMS is a global workforce solutions partner committed to creating inclusive, dynamic, and future-ready workplaces. We help organisations adapt, grow, and thrive in an ever-evolving world by building, shaping, and optimising diverse talent strategies. Our Contingent Workforce Solutions (CWS) is one of our service offerings. Acting as an extension of their recruitment teams, we connect them with skilled interim and temporary professionals, fosteri... ","r, ui",2026-05-28,https://www.reed.co.uk/jobs/liquidity-data-analyst-sql/56950510,Reed,2026-05-30T19:24:35.559201
reed_56952998,Contract Business Data Analyst,Connells Group HQ,MK78JT,City of Milton Keynes,United Kingdom,52.0027654,-0.7023586,,,,GBP,Full-time,"Job Description We are seeking an experienced Technical Business Analyst to support a large-scale CRM data migration programme as part of Project Prometheus on a 6-month contract. The primary focus of the role is to analyse, document, and map legacy (“heritage”) CRM system and associated reporting, in order to support the replication and recreation of the target-state operational and analytical reporting suite. This role sits at the intersection... ","crm, r, ui",2026-05-28,https://www.reed.co.uk/jobs/contract-business-data-analyst/56952998,Reed,2026-05-30T19:24:35.559602
reed_56904306,Data Engineer,FDM Group,London,Greater London,United Kingdom,51.5074456,-0.1277653,,55000.0,75000.0,GBP,Full-time,"About The Role FDM is a global business and technology consultancy seeking a Data Engineer to work for our client within the Finance sector. This is initially a 6 month contract with very good prospects to extend and will be a hybrid role that be based in London . The Senior Data Analyst will take ownership of the client-relationship data layer that underpins all future sales tooling within a FICC department of a Bank. In FICC, each asset class ... ","go, r",2026-05-14,https://www.reed.co.uk/jobs/data-engineer/56904306,Reed,2026-05-30T19:24:37.813480
reed_56908114,Data Journalist,William Reed,EC4A2EA,City of London,United Kingdom,51.5143056,-0.1089984,,,,GBP,Full-time,"As Data Journalist for Retail Week, you will be responsible for outputting news stories, analysis, charts and newsletter copy, through a mix of data projects and stories that come out of connections with industry sources, analysts and data providers.&nbsp; This role contributes to Retail Week’s Intelligence and Insights output by delivering timely, data-led journalism and analysis that informs, engages and supports the retail sector. Your impact... ",r,2026-05-15,https://www.reed.co.uk/jobs/data-journalist/56908114,Reed,2026-05-30T19:24:37.813877
